ISO3166-2,pref,sum,mid,date
JP-01,北海道,2061981,2584855,2021-09-04
JP-02,青森県,554782,666684,2021-09-04
JP-03,岩手県,490119,599517,2021-09-04
JP-04,宮城県,913013,1168969,2021-09-04
JP-05,秋田県,455216,536101,2021-09-04
JP-06,山形県,524148,618337,2021-09-04
JP-07,福島県,818562,991088,2021-09-04
JP-08,茨城県,1212774,1513862,2021-09-04
JP-09,栃木県,724768,902073,2021-09-04
JP-10,群馬県,916495,1193137,2021-09-04
JP-11,埼玉県,2700265,3497172,2021-09-04
JP-12,千葉県,2466320,3136637,2021-09-04
JP-13,東京都,5772555,7456771,2021-09-04
JP-14,神奈川県,3514759,4525944,2021-09-04
JP-15,新潟県,993208,1232625,2021-09-04
JP-16,富山県,437749,543938,2021-09-04
JP-17,石川県,507850,618724,2021-09-04
JP-18,福井県,363037,453523,2021-09-04
JP-19,山梨県,323921,407936,2021-09-04
JP-20,長野県,863577,1066043,2021-09-04
JP-21,岐阜県,896430,1094611,2021-09-04
JP-22,静岡県,1431066,1836472,2021-09-04
JP-23,愛知県,2866176,3676027,2021-09-04
JP-24,三重県,740622,920134,2021-09-04
JP-25,滋賀県,589695,732516,2021-09-04
JP-26,京都府,977155,1218692,2021-09-04
JP-27,大阪府,3419033,4298496,2021-09-04
JP-28,兵庫県,2292320,2877813,2021-09-04
JP-29,奈良県,588886,734377,2021-09-04
JP-30,和歌山県,473212,563816,2021-09-04
JP-31,鳥取県,252518,312337,2021-09-04
JP-32,島根県,302248,362499,2021-09-04
JP-33,岡山県,832153,996561,2021-09-04
JP-34,広島県,1186001,1449866,2021-09-04
JP-35,山口県,713204,828211,2021-09-04
JP-36,徳島県,335792,403031,2021-09-04
JP-37,香川県,392177,493874,2021-09-04
JP-38,愛媛県,578551,715836,2021-09-04
JP-39,高知県,328888,401640,2021-09-04
JP-40,福岡県,2163485,2713300,2021-09-04
JP-41,佐賀県,373417,448496,2021-09-04
JP-42,長崎県,645304,792363,2021-09-04
JP-43,熊本県,854826,1039306,2021-09-04
JP-44,大分県,499189,596417,2021-09-04
JP-45,宮崎県,444141,556307,2021-09-04
JP-46,鹿児島県,681073,845968,2021-09-04
JP-47,沖縄県,521291,668186,2021-09-04
